
002-(11): D_cost: -5.780  Wasserstein_D: 6.570  G_cost: -1.532  
002-(12): D_cost: -5.794  Wasserstein_D: 6.575  G_cost: -1.525  
002-(13): D_cost: -5.829  Wasserstein_D: 6.664  G_cost: -1.751  
002-(14): D_cost: -5.757  Wasserstein_D: 6.548  G_cost: -1.748  
002-(15): D_cost: -5.908  Wasserstein_D: 6.724  G_cost: -1.560  
002-(16): D_cost: -5.894  Wasserstein_D: 6.701  G_cost: -1.050  
002-(17): D_cost: -5.811  Wasserstein_D: 6.547  G_cost: -1.660  
002-(18): D_cost: -5.908  Wasserstein_D: 6.724  G_cost: -1.161  
002-(19): D_cost: -5.782  Wasserstein_D: 6.478  G_cost: -1.754  
002-(20): D_cost: -5.794  Wasserstein_D: 6.564  G_cost: -1.296  
002-(21): D_cost: -5.908  Wasserstein_D: 6.744  G_cost: -1.594  
002-(22): D_cost: -5.721  Wasserstein_D: 6.534  G_cost: -0.249  
002-(23): D_cost: -5.822  Wasserstein_D: 6.462  G_cost: -1.676  
002-(24): D_cost: -5.983  Wasserstein_D: 6.912  G_cost: -1.943  
002-(25): D_cost: -5.773  Wasserstein_D: 6.584  G_cost: -0.646  
002-(26): D_cost: -5.679  Wasserstein_D: 6.401  G_cost: -1.517  
002-(27): D_cost: -5.963  Wasserstein_D: 6.791  G_cost: -0.269  
002-(28): D_cost: -5.924  Wasserstein_D: 6.600  G_cost: -1.612  
002-(29): D_cost: -5.660  Wasserstein_D: 6.475  G_cost: -1.560  
002-(30): D_cost: -6.288  Wasserstein_D: 7.181  G_cost: -1.133  
002-(31): D_cost: -5.904  Wasserstein_D: 6.574  G_cost: -0.795  
002-(32): D_cost: -5.596  Wasserstein_D: 6.384  G_cost: -1.707  
002-(33): D_cost: -6.247  Wasserstein_D: 7.219  G_cost: -0.084  
002-(34): D_cost: -6.380  Wasserstein_D: 7.228  G_cost: -0.752  
002-(35): D_cost: -6.215  Wasserstein_D: 6.927  G_cost: -1.299  
002-(36): D_cost: -5.598  Wasserstein_D: 6.303  G_cost: -1.531  
002-(37): D_cost: -5.661  Wasserstein_D: 6.332  G_cost: -0.624  
002-(38): D_cost: -6.375  Wasserstein_D: 7.193  G_cost: -1.333  
002-(39): D_cost: -6.611  Wasserstein_D: 7.647  G_cost: -0.596  
002-(40): D_cost: -5.690  Wasserstein_D: 6.341  G_cost: -1.336  
002-(41): D_cost: -5.574  Wasserstein_D: 6.299  G_cost: -2.114  
002-(42): D_cost: -5.963  Wasserstein_D: 6.805  G_cost: -0.595  
002-(43): D_cost: -6.498  Wasserstein_D: 7.365  G_cost: -0.775  
002-(44): D_cost: -6.128  Wasserstein_D: 6.904  G_cost: -1.094  
